food_id,Category,food_name,calories,protein,carbs,fat,fiber,sugar,sodium
1001,BUTTER,"BUTTER,WITH SALT",717,0.85,0.06,81.11,0.0,0.059999999,576
1002,BUTTER,"BUTTER,WHIPPED,WITH SALT",717,0.85,0.06,81.11,0.0,0.059999999,827
1003,BUTTER OIL,"BUTTER OIL,ANHYDROUS",876,0.28,0.0,99.48,0.0,0.0,2
1004,CHEESE,"CHEESE,BLUE",353,21.4,2.34,28.74,0.0,0.5,1395
1005,CHEESE,"CHEESE,BRICK",371,23.24,2.79,29.68,0.0,0.50999999,560
1006,CHEESE,"CHEESE,BRIE",334,20.75,0.45,27.68,0.0,0.449999988,629
1007,CHEESE,"CHEESE,CAMEMBERT",300,19.8,0.46,24.26,0.0,0.460000008,842
1008,CHEESE,"CHEESE,CARAWAY",376,25.18,3.06,29.2,0.0,0.0,690
1009,CHEESE,"CHEESE,CHEDDAR",403,24.9,1.28,33.14,0.0,0.519999981,621
1010,CHEESE,"CHEESE,CHESHIRE",387,23.37,4.78,30.6,0.0,0.0,700
1011,CHEESE,"CHEESE,COLBY",394,23.76,2.57,32.11,0.0,0.519999981,604
1012,CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98,11.12,3.38,4.3,0.0,2.670000076,364
1013,CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",97,10.69,4.61,3.85,0.200000003,2.380000114,344
1014,CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72,10.34,6.66,0.29,0.0,1.850000024,330
1015,CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86,11.83,3.66,2.45,0.0,3.670000076,330
1016,CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72,12.39,2.72,1.02,0.0,2.720000029,406
1017,CHEESE,"CHEESE,CREAM",342,5.93,4.07,34.24,0.0,3.210000038,321
1018,CHEESE,"CHEESE,EDAM",357,24.99,1.43,27.8,0.0,1.429999948,965
1019,CHEESE,"CHEESE,FETA",264,14.21,4.09,21.28,0.0,4.090000153,1116
1020,CHEESE,"CHEESE,FONTINA",389,25.6,1.55,31.14,0.0,1.549999952,800
1021,CHEESE,"CHEESE,GJETOST",466,9.65,42.65,29.51,0.0,0.0,600
1022,CHEESE,"CHEESE,GOUDA",356,24.94,2.22,27.44,0.0,2.220000029,819
1023,CHEESE,"CHEESE,GRUYERE",413,29.81,0.36,32.34,0.0,0.360000014,336
1024,CHEESE,"CHEESE,LIMBURGER",327,20.05,0.49,27.25,0.0,0.49000001,800
1025,CHEESE,"CHEESE,MONTEREY",373,24.48,0.68,30.28,0.0,0.5,536
1026,CHEESE,"CHEESE,MOZZARELLA,WHL MILK",300,22.17,2.19,22.35,0.0,1.029999971,627
1027,CHEESE,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318,21.6,2.47,24.64,0.0,1.00999999,415
1028,CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK",254,24.26,2.77,15.92,0.0,1.129999995,619
1029,CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",302,25.96,3.83,20.03,0.0,0.600000024,528
1030,CHEESE,"CHEESE,MUENSTER",368,23.41,1.12,30.04,0.0,1.120000005,628
1031,CHEESE,"CHEESE,NEUFCHATEL",253,9.15,3.59,22.78,0.0,3.190000057,334
1032,CHEESE,"CHEESE,PARMESAN,GRATED",431,38.46,4.06,28.61,0.0,0.899999976,1529
1033,CHEESE,"CHEESE,PARMESAN,HARD",392,35.75,3.22,25.83,0.0,0.800000012,1602
